row_count,field_count,field_name_values,issuedate_min,issuedate_max,new_class_unique_count,new_class_unique_values,new_type_unique_count,new_type_unique_values,usetype_unique_count,usetype_values,units_unique_count,units_unique_values,value_unique_count,value_unique_values,sqft_unique_count,sqft_unique_values,nbrhood_unique_count,nbrhood_unique_values
,,,,,,,,,,,,,,78361,,2837,,
,,,,,,,,,,,,,,78373,,2838,,
,,,,,,,,,,,,,,78375,,2840,,
,,,,,,,,,,,,,,78416,,2841,,
,,,,,,,,,,,,,,78430,,2843,,
,,,,,,,,,,,,,,78456,,2844,,
,,,,,,,,,,,,,,78458,,2846,,
,,,,,,,,,,,,,,78465,,2847,,
,,,,,,,,,,,,,,78488,,2848,,
,,,,,,,,,,,,,,78500,,2849,,
,,,,,,,,,,,,,,78510,,2850,,
,,,,,,,,,,,,,,78584,,2851,,
,,,,,,,,,,,,,,78593,,2852,,
,,,,,,,,,,,,,,78597,,2853,,
,,,,,,,,,,,,,,78618,,2854,,
,,,,,,,,,,,,,,78632,,2857,,
,,,,,,,,,,,,,,78667,,2858,,
,,,,,,,,,,,,,,78680,,2859,,
,,,,,,,,,,,,,,78717,,2860,,
,,,,,,,,,,,,,,78736,,2861,,
,,,,,,,,,,,,,,78748,,2862,,
,,,,,,,,,,,,,,78749,,2863,,
,,,,,,,,,,,,,,78754,,2864,,
,,,,,,,,,,,,,,78756,,2865,,
,,,,,,,,,,,,,,78771,,2867,,
,,,,,,,,,,,,,,78774,,2868,,
,,,,,,,,,,,,,,78796,,2869,,
,,,,,,,,,,,,,,78804,,2870,,
,,,,,,,,,,,,,,78852,,2871,,
,,,,,,,,,,,,,,78865,,2872,,
,,,,,,,,,,,,,,78896,,2874,,
,,,,,,,,,,,,,,78917,,2875,,
,,,,,,,,,,,,,,78919,,2876,,
,,,,,,,,,,,,,,78934,,2877,,
,,,,,,,,,,,,,,78936,,2878,,
,,,,,,,,,,,,,,78942,,2880,,
,,,,,,,,,,,,,,78960,,2882,,
,,,,,,,,,,,,,,78968,,2883,,
,,,,,,,,,,,,,,78979,,2885,,
,,,,,,,,,,,,,,79000,,2886,,
,,,,,,,,,,,,,,79042,,2887,,
,,,,,,,,,,,,,,79077,,2888,,
,,,,,,,,,,,,,,79087,,2889,,
,,,,,,,,,,,,,,79105,,2890,,
,,,,,,,,,,,,,,79122,,2892,,
,,,,,,,,,,,,,,79146,,2893,,
,,,,,,,,,,,,,,79163,,2895,,
,,,,,,,,,,,,,,79187,,2896,,
,,,,,,,,,,,,,,79197,,2897,,
,,,,,,,,,,,,,,79198,,2898,,
,,,,,,,,,,,,,,79223,,2900,,
,,,,,,,,,,,,,,79238,,2902,,
,,,,,,,,,,,,,,79240,,2903,,
,,,,,,,,,,,,,,79288,,2904,,
,,,,,,,,,,,,,,79363,,2905,,
,,,,,,,,,,,,,,79369,,2906,,
,,,,,,,,,,,,,,79386,,2907,,
,,,,,,,,,,,,,,79395,,2908,,
,,,,,,,,,,,,,,79425,,2909,,
,,,,,,,,,,,,,,79427,,2910,,
,,,,,,,,,,,,,,79432,,2911,,
,,,,,,,,,,,,,,79442,,2912,,
,,,,,,,,,,,,,,79453,,2913,,
,,,,,,,,,,,,,,79457,,2915,,
,,,,,,,,,,,,,,79492,,2917,,
,,,,,,,,,,,,,,79513,,2918,,
,,,,,,,,,,,,,,79518,,2919,,
,,,,,,,,,,,,,,79519,,2920,,
,,,,,,,,,,,,,,79533,,2923,,
,,,,,,,,,,,,,,79543,,2924,,
,,,,,,,,,,,,,,79602,,2925,,
,,,,,,,,,,,,,,79608,,2926,,
,,,,,,,,,,,,,,79616,,2927,,
,,,,,,,,,,,,,,79619,,2929,,
,,,,,,,,,,,,,,79623,,2930,,
,,,,,,,,,,,,,,79628,,2931,,
,,,,,,,,,,,,,,79629,,2933,,
,,,,,,,,,,,,,,79630,,2935,,
,,,,,,,,,,,,,,79686,,2936,,
,,,,,,,,,,,,,,79691,,2937,,
,,,,,,,,,,,,,,79703,,2938,,
,,,,,,,,,,,,,,79704,,2939,,
,,,,,,,,,,,,,,79705,,2941,,
,,,,,,,,,,,,,,79714,,2942,,
,,,,,,,,,,,,,,79725,,2944,,
,,,,,,,,,,,,,,79726,,2945,,
,,,,,,,,,,,,,,79728,,2946,,
,,,,,,,,,,,,,,79736,,2947,,
,,,,,,,,,,,,,,79745,,2948,,
,,,,,,,,,,,,,,79753,,2949,,
,,,,,,,,,,,,,,79763,,2950,,
,,,,,,,,,,,,,,79765,,2952,,
,,,,,,,,,,,,,,79776,,2953,,
,,,,,,,,,,,,,,79800,,2954,,
,,,,,,,,,,,,,,79806,,2955,,
,,,,,,,,,,,,,,79811,,2956,,
,,,,,,,,,,,,,,79829,,2958,,
,,,,,,,,,,,,,,79882,,2960,,
,,,,,,,,,,,,,,79886,,2962,,
,,,,,,,,,,,,,,79891,,2963,,
,,,,,,,,,,,,,,79892,,2964,,
,,,,,,,,,,,,,,79957,,2965,,
,,,,,,,,,,,,,,79982,,2966,,
,,,,,,,,,,,,,,79994,,2968,,
,,,,,,,,,,,,,,80000,,2969,,
,,,,,,,,,,,,,,80002,,2970,,
,,,,,,,,,,,,,,80003,,2971,,
,,,,,,,,,,,,,,80026,,2972,,
,,,,,,,,,,,,,,80031,,2973,,
,,,,,,,,,,,,,,80056,,2974,,
,,,,,,,,,,,,,,80086,,2975,,
,,,,,,,,,,,,,,80111,,2976,,
,,,,,,,,,,,,,,80123,,2977,,
,,,,,,,,,,,,,,80127,,2978,,
,,,,,,,,,,,,,,80146,,2979,,
,,,,,,,,,,,,,,80158,,2980,,
,,,,,,,,,,,,,,80159,,2981,,
,,,,,,,,,,,,,,80172,,2982,,
,,,,,,,,,,,,,,80183,,2984,,
,,,,,,,,,,,,,,80203,,2986,,
,,,,,,,,,,,,,,80213,,2987,,
,,,,,,,,,,,,,,80227,,2988,,
,,,,,,,,,,,,,,80229,,2989,,
,,,,,,,,,,,,,,80237,,2990,,
,,,,,,,,,,,,,,80281,,2991,,
,,,,,,,,,,,,,,80297,,2992,,
,,,,,,,,,,,,,,80298,,2993,,
,,,,,,,,,,,,,,80310,,2994,,
,,,,,,,,,,,,,,80321,,2995,,
,,,,,,,,,,,,,,80360,,2996,,
,,,,,,,,,,,,,,80388,,2999,,
,,,,,,,,,,,,,,80421,,3000,,
,,,,,,,,,,,,,,80426,,3002,,
,,,,,,,,,,,,,,80439,,3003,,
,,,,,,,,,,,,,,80471,,3004,,
,,,,,,,,,,,,,,80500,,3005,,
,,,,,,,,,,,,,,80501,,3006,,
,,,,,,,,,,,,,,80515,,3010,,
,,,,,,,,,,,,,,80518,,3011,,
,,,,,,,,,,,,,,80542,,3013,,
,,,,,,,,,,,,,,80574,,3014,,
,,,,,,,,,,,,,,80622,,3015,,
,,,,,,,,,,,,,,80631,,3016,,
,,,,,,,,,,,,,,80642,,3017,,
,,,,,,,,,,,,,,80670,,3018,,
,,,,,,,,,,,,,,80714,,3019,,
,,,,,,,,,,,,,,80724,,3020,,
,,,,,,,,,,,,,,80730,,3021,,
,,,,,,,,,,,,,,80732,,3022,,
,,,,,,,,,,,,,,80736,,3023,,
,,,,,,,,,,,,,,80798,,3024,,
,,,,,,,,,,,,,,80810,,3025,,
,,,,,,,,,,,,,,80822,,3027,,
,,,,,,,,,,,,,,80834,,3028,,
,,,,,,,,,,,,,,80835,,3029,,
,,,,,,,,,,,,,,80836,,3030,,
,,,,,,,,,,,,,,80850,,3031,,
,,,,,,,,,,,,,,80860,,3032,,
,,,,,,,,,,,,,,80861,,3033,,
,,,,,,,,,,,,,,80872,,3035,,
,,,,,,,,,,,,,,80894,,3036,,
,,,,,,,,,,,,,,80899,,3039,,
,,,,,,,,,,,,,,80909,,3040,,
,,,,,,,,,,,,,,80913,,3041,,
,,,,,,,,,,,,,,80970,,3042,,
,,,,,,,,,,,,,,80996,,3043,,
,,,,,,,,,,,,,,81058,,3046,,
,,,,,,,,,,,,,,81064,,3047,,
,,,,,,,,,,,,,,81087,,3048,,
,,,,,,,,,,,,,,81113,,3049,,
,,,,,,,,,,,,,,81122,,3050,,
,,,,,,,,,,,,,,81128,,3053,,
,,,,,,,,,,,,,,81144,,3054,,
,,,,,,,,,,,,,,81185,,3055,,
,,,,,,,,,,,,,,81188,,3056,,
,,,,,,,,,,,,,,81195,,3057,,
,,,,,,,,,,,,,,81198,,3058,,
,,,,,,,,,,,,,,81208,,3059,,
,,,,,,,,,,,,,,81273,,3060,,
,,,,,,,,,,,,,,81281,,3061,,
,,,,,,,,,,,,,,81286,,3062,,
,,,,,,,,,,,,,,81309,,3064,,
,,,,,,,,,,,,,,81314,,3065,,
,,,,,,,,,,,,,,81316,,3066,,
,,,,,,,,,,,,,,81318,,3067,,
,,,,,,,,,,,,,,81332,,3068,,
,,,,,,,,,,,,,,81333,,3069,,
,,,,,,,,,,,,,,81339,,3071,,
,,,,,,,,,,,,,,81345,,3072,,
,,,,,,,,,,,,,,81381,,3073,,
,,,,,,,,,,,,,,81401,,3074,,
,,,,,,,,,,,,,,81418,,3076,,
,,,,,,,,,,,,,,81451,,3077,,
,,,,,,,,,,,,,,81452,,3078,,
,,,,,,,,,,,,,,81467,,3079,,
,,,,,,,,,,,,,,81473,,3080,,
,,,,,,,,,,,,,,81490,,3081,,
,,,,,,,,,,,,,,81500,,3082,,
,,,,,,,,,,,,,,81520,,3083,,
,,,,,,,,,,,,,,81535,,3084,,
,,,,,,,,,,,,,,81554,,3085,,
,,,,,,,,,,,,,,81555,,3086,,
,,,,,,,,,,,,,,81595,,3087,,
,,,,,,,,,,,,,,81599,,3089,,
,,,,,,,,,,,,,,81604,,3090,,
,,,,,,,,,,,,,,81616,,3091,,
,,,,,,,,,,,,,,81622,,3093,,
,,,,,,,,,,,,,,81627,,3094,,
,,,,,,,,,,,,,,81634,,3095,,
,,,,,,,,,,,,,,81643,,3096,,
,,,,,,,,,,,,,,81652,,3097,,
,,,,,,,,,,,,,,81684,,3098,,
,,,,,,,,,,,,,,81711,,3099,,
,,,,,,,,,,,,,,81732,,3100,,
,,,,,,,,,,,,,,81745,,3102,,
,,,,,,,,,,,,,,81748,,3103,,
,,,,,,,,,,,,,,81757,,3104,,
,,,,,,,,,,,,,,81791,,3105,,
,,,,,,,,,,,,,,81816,,3106,,
,,,,,,,,,,,,,,81850,,3107,,
,,,,,,,,,,,,,,81864,,3109,,
,,,,,,,,,,,,,,81916,,3110,,
,,,,,,,,,,,,,,81944,,3115,,
,,,,,,,,,,,,,,81948,,3116,,
,,,,,,,,,,,,,,82000,,3117,,
,,,,,,,,,,,,,,82005,,3118,,
,,,,,,,,,,,,,,82038,,3122,,
,,,,,,,,,,,,,,82071,,3124,,
,,,,,,,,,,,,,,82077,,3125,,
,,,,,,,,,,,,,,82084,,3130,,
,,,,,,,,,,,,,,82097,,3132,,
,,,,,,,,,,,,,,82098,,3133,,
,,,,,,,,,,,,,,82120,,3134,,
,,,,,,,,,,,,,,82131,,3135,,
,,,,,,,,,,,,,,82136,,3136,,
,,,,,,,,,,,,,,82140,,3138,,
,,,,,,,,,,,,,,82151,,3139,,
,,,,,,,,,,,,,,82190,,3140,,
,,,,,,,,,,,,,,82228,,3142,,
,,,,,,,,,,,,,,82232,,3143,,
,,,,,,,,,,,,,,82237,,3144,,
,,,,,,,,,,,,,,82261,,3145,,
,,,,,,,,,,,,,,82305,,3148,,
,,,,,,,,,,,,,,82325,,3150,,
,,,,,,,,,,,,,,82328,,3151,,
,,,,,,,,,,,,,,82418,,3152,,
,,,,,,,,,,,,,,82421,,3153,,
,,,,,,,,,,,,,,82445,,3154,,
,,,,,,,,,,,,,,82471,,3155,,
,,,,,,,,,,,,,,82497,,3156,,
,,,,,,,,,,,,,,82512,,3157,,
,,,,,,,,,,,,,,82513,,3158,,
,,,,,,,,,,,,,,82515,,3159,,
,,,,,,,,,,,,,,82544,,3160,,
,,,,,,,,,,,,,,82545,,3161,,
,,,,,,,,,,,,,,82570,,3163,,
,,,,,,,,,,,,,,82588,,3164,,
,,,,,,,,,,,,,,82594,,3165,,
,,,,,,,,,,,,,,82601,,3166,,
,,,,,,,,,,,,,,82616,,3168,,
,,,,,,,,,,,,,,82638,,3169,,
,,,,,,,,,,,,,,82718,,3170,,
,,,,,,,,,,,,,,82720,,3173,,
,,,,,,,,,,,,,,82728,,3177,,
,,,,,,,,,,,,,,82739,,3179,,
,,,,,,,,,,,,,,82790,,3181,,
,,,,,,,,,,,,,,82810,,3182,,
,,,,,,,,,,,,,,82812,,3183,,
,,,,,,,,,,,,,,82819,,3184,,
,,,,,,,,,,,,,,82848,,3185,,
,,,,,,,,,,,,,,82859,,3186,,
,,,,,,,,,,,,,,82887,,3188,,
,,,,,,,,,,,,,,82926,,3189,,
,,,,,,,,,,,,,,82928,,3190,,
,,,,,,,,,,,,,,82939,,3191,,
,,,,,,,,,,,,,,82972,,3192,,
,,,,,,,,,,,,,,82989,,3194,,
,,,,,,,,,,,,,,82994,,3195,,
,,,,,,,,,,,,,,83000,,3196,,
,,,,,,,,,,,,,,83002,,3197,,
,,,,,,,,,,,,,,83016,,3198,,
,,,,,,,,,,,,,,83026,,3199,,
,,,,,,,,,,,,,,83032,,3200,,
,,,,,,,,,,,,,,83062,,3201,,
,,,,,,,,,,,,,,83071,,3202,,
,,,,,,,,,,,,,,83116,,3203,,
,,,,,,,,,,,,,,83128,,3204,,
,,,,,,,,,,,,,,83131,,3205,,
,,,,,,,,,,,,,,83136,,3206,,
,,,,,,,,,,,,,,83148,,3207,,
,,,,,,,,,,,,,,83160,,3208,,
,,,,,,,,,,,,,,83188,,3211,,
,,,,,,,,,,,,,,83230,,3213,,
,,,,,,,,,,,,,,83306,,3214,,
,,,,,,,,,,,,,,83308,,3215,,
,,,,,,,,,,,,,,83325,,3217,,
,,,,,,,,,,,,,,83350,,3220,,
,,,,,,,,,,,,,,83393,,3222,,
,,,,,,,,,,,,,,83409,,3224,,
,,,,,,,,,,,,,,83412,,3226,,
,,,,,,,,,,,,,,83417,,3227,,
,,,,,,,,,,,,,,83423,,3228,,
,,,,,,,,,,,,,,83480,,3229,,
,,,,,,,,,,,,,,83512,,3230,,
,,,,,,,,,,,,,,83527,,3233,,
,,,,,,,,,,,,,,83532,,3234,,
,,,,,,,,,,,,,,83568,,3236,,
,,,,,,,,,,,,,,83586,,3237,,
,,,,,,,,,,,,,,83597,,3238,,
,,,,,,,,,,,,,,83635,,3240,,
,,,,,,,,,,,,,,83656,,3244,,
,,,,,,,,,,,,,,83674,,3245,,
,,,,,,,,,,,,,,83677,,3246,,
,,,,,,,,,,,,,,83679,,3247,,
,,,,,,,,,,,,,,83686,,3248,,
,,,,,,,,,,,,,,83701,,3249,,
,,,,,,,,,,,,,,83711,,3250,,
,,,,,,,,,,,,,,83725,,3252,,
,,,,,,,,,,,,,,83736,,3253,,
,,,,,,,,,,,,,,83756,,3254,,
,,,,,,,,,,,,,,83776,,3255,,
,,,,,,,,,,,,,,83818,,3257,,
,,,,,,,,,,,,,,83837,,3260,,
,,,,,,,,,,,,,,83844,,3262,,
,,,,,,,,,,,,,,83848,,3263,,
,,,,,,,,,,,,,,83855,,3265,,
,,,,,,,,,,,,,,83863,,3266,,
,,,,,,,,,,,,,,83880,,3268,,
,,,,,,,,,,,,,,83888,,3269,,
,,,,,,,,,,,,,,83897,,3270,,
,,,,,,,,,,,,,,84000,,3271,,
,,,,,,,,,,,,,,84024,,3274,,
,,,,,,,,,,,,,,84084,,3275,,
,,,,,,,,,,,,,,84132,,3276,,
,,,,,,,,,,,,,,84137,,3278,,
,,,,,,,,,,,,,,84168,,3279,,
,,,,,,,,,,,,,,84189,,3282,,
,,,,,,,,,,,,,,84219,,3283,,
,,,,,,,,,,,,,,84237,,3284,,
,,,,,,,,,,,,,,84249,,3285,,
,,,,,,,,,,,,,,84269,,3286,,
,,,,,,,,,,,,,,84287,,3287,,
,,,,,,,,,,,,,,84302,,3288,,
,,,,,,,,,,,,,,84306,,3289,,
,,,,,,,,,,,,,,84312,,3291,,
,,,,,,,,,,,,,,84366,,3292,,
,,,,,,,,,,,,,,84388,,3293,,
,,,,,,,,,,,,,,84438,,3294,,
,,,,,,,,,,,,,,84486,,3295,,
,,,,,,,,,,,,,,84490,,3296,,
,,,,,,,,,,,,,,84502,,3298,,
,,,,,,,,,,,,,,84514,,3300,,
,,,,,,,,,,,,,,84524,,3301,,
,,,,,,,,,,,,,,84565,,3303,,
,,,,,,,,,,,,,,84574,,3307,,
,,,,,,,,,,,,,,84663,,3308,,
,,,,,,,,,,,,,,84668,,3309,,
,,,,,,,,,,,,,,84682,,3310,,
,,,,,,,,,,,,,,84696,,3312,,
,,,,,,,,,,,,,,84700,,3314,,
,,,,,,,,,,,,,,84708,,3315,,
,,,,,,,,,,,,,,84711,,3316,,
,,,,,,,,,,,,,,84724,,3317,,
,,,,,,,,,,,,,,84733,,3320,,
,,,,,,,,,,,,,,84738,,3321,,
,,,,,,,,,,,,,,84757,,3322,,
,,,,,,,,,,,,,,84758,,3324,,
,,,,,,,,,,,,,,84771,,3328,,
,,,,,,,,,,,,,,84781,,3330,,
,,,,,,,,,,,,,,84814,,3331,,
,,,,,,,,,,,,,,84842,,3332,,
,,,,,,,,,,,,,,84849,,3333,,
,,,,,,,,,,,,,,84856,,3334,,
,,,,,,,,,,,,,,84861,,3335,,
,,,,,,,,,,,,,,84871,,3337,,
,,,,,,,,,,,,,,84874,,3338,,
,,,,,,,,,,,,,,84875,,3340,,
,,,,,,,,,,,,,,84879,,3341,,
,,,,,,,,,,,,,,84889,,3342,,
,,,,,,,,,,,,,,84960,,3343,,
,,,,,,,,,,,,,,84977,,3344,,
,,,,,,,,,,,,,,84978,,3345,,
,,,,,,,,,,,,,,84985,,3346,,
,,,,,,,,,,,,,,85000,,3348,,
,,,,,,,,,,,,,,85013,,3350,,
,,,,,,,,,,,,,,85022,,3351,,
,,,,,,,,,,,,,,85034,,3352,,
,,,,,,,,,,,,,,85068,,3353,,
,,,,,,,,,,,,,,85096,,3354,,
,,,,,,,,,,,,,,85125,,3355,,
,,,,,,,,,,,,,,85147,,3356,,
,,,,,,,,,,,,,,85148,,3357,,
,,,,,,,,,,,,,,85160,,3359,,
,,,,,,,,,,,,,,85164,,3360,,
,,,,,,,,,,,,,,85174,,3364,,
,,,,,,,,,,,,,,85184,,3365,,
,,,,,,,,,,,,,,85206,,3366,,
,,,,,,,,,,,,,,85231,,3368,,
,,,,,,,,,,,,,,85233,,3370,,
,,,,,,,,,,,,,,85236,,3372,,
,,,,,,,,,,,,,,85237,,3373,,
,,,,,,,,,,,,,,85265,,3374,,
,,,,,,,,,,,,,,85322,,3375,,
,,,,,,,,,,,,,,85332,,3377,,
,,,,,,,,,,,,,,85340,,3379,,
,,,,,,,,,,,,,,85343,,3380,,
,,,,,,,,,,,,,,85376,,3382,,
,,,,,,,,,,,,,,85394,,3383,,
,,,,,,,,,,,,,,85426,,3384,,
,,,,,,,,,,,,,,85464,,3386,,
,,,,,,,,,,,,,,85475,,3387,,
,,,,,,,,,,,,,,85477,,3388,,
,,,,,,,,,,,,,,85489,,3389,,
,,,,,,,,,,,,,,85490,,3390,,
,,,,,,,,,,,,,,85508,,3391,,
,,,,,,,,,,,,,,85511,,3393,,
,,,,,,,,,,,,,,85538,,3394,,
,,,,,,,,,,,,,,85556,,3395,,
,,,,,,,,,,,,,,85576,,3396,,
,,,,,,,,,,,,,,85585,,3397,,
,,,,,,,,,,,,,,85598,,3398,,
,,,,,,,,,,,,,,85616,,3400,,
,,,,,,,,,,,,,,85664,,3402,,
,,,,,,,,,,,,,,85680,,3404,,
,,,,,,,,,,,,,,85713,,3405,,
,,,,,,,,,,,,,,85731,,3407,,
,,,,,,,,,,,,,,85741,,3408,,
,,,,,,,,,,,,,,85755,,3409,,
,,,,,,,,,,,,,,85784,,3410,,
,,,,,,,,,,,,,,85794,,3412,,
,,,,,,,,,,,,,,85806,,3416,,
,,,,,,,,,,,,,,85821,,3417,,
,,,,,,,,,,,,,,85877,,3418,,
,,,,,,,,,,,,,,85879,,3420,,
,,,,,,,,,,,,,,85880,,3424,,
,,,,,,,,,,,,,,85901,,3425,,
,,,,,,,,,,,,,,85919,,3426,,
,,,,,,,,,,,,,,85933,,3428,,
,,,,,,,,,,,,,,85948,,3429,,
,,,,,,,,,,,,,,85966,,3430,,
,,,,,,,,,,,,,,85978,,3431,,
,,,,,,,,,,,,,,85984,,3432,,
,,,,,,,,,,,,,,85990,,3433,,
,,,,,,,,,,,,,,85998,,3434,,
,,,,,,,,,,,,,,86010,,3435,,
,,,,,,,,,,,,,,86011,,3436,,
,,,,,,,,,,,,,,86036,,3437,,
,,,,,,,,,,,,,,86085,,3438,,
,,,,,,,,,,,,,,86094,,3439,,
,,,,,,,,,,,,,,86102,,3440,,
,,,,,,,,,,,,,,86112,,3441,,
,,,,,,,,,,,,,,86138,,3442,,
,,,,,,,,,,,,,,86148,,3444,,
,,,,,,,,,,,,,,86149,,3445,,
,,,,,,,,,,,,,,86210,,3446,,
,,,,,,,,,,,,,,86219,,3450,,
,,,,,,,,,,,,,,86256,,3451,,
,,,,,,,,,,,,,,86259,,3452,,
,,,,,,,,,,,,,,86295,,3453,,
,,,,,,,,,,,,,,86300,,3454,,
,,,,,,,,,,,,,,86302,,3455,,
,,,,,,,,,,,,,,86313,,3456,,
,,,,,,,,,,,,,,86336,,3458,,
,,,,,,,,,,,,,,86339,,3460,,
,,,,,,,,,,,,,,86400,,3461,,
,,,,,,,,,,,,,,86402,,3462,,
,,,,,,,,,,,,,,86411,,3465,,
,,,,,,,,,,,,,,86429,,3467,,
,,,,,,,,,,,,,,86433,,3468,,
,,,,,,,,,,,,,,86458,,3470,,
,,,,,,,,,,,,,,86466,,3471,,
,,,,,,,,,,,,,,86467,,3474,,
,,,,,,,,,,,,,,86482,,3476,,
,,,,,,,,,,,,,,86487,,3478,,
,,,,,,,,,,,,,,86511,,3480,,
,,,,,,,,,,,,,,86521,,3481,,
,,,,,,,,,,,,,,86560,,3482,,
,,,,,,,,,,,,,,86581,,3483,,
,,,,,,,,,,,,,,86583,,3485,,
,,,,,,,,,,,,,,86615,,3489,,
,,,,,,,,,,,,,,86630,,3490,,
,,,,,,,,,,,,,,86631,,3492,,
,,,,,,,,,,,,,,86676,,3493,,
,,,,,,,,,,,,,,86680,,3494,,
,,,,,,,,,,,,,,86753,,3495,,
,,,,,,,,,,,,,,86756,,3496,,
,,,,,,,,,,,,,,86760,,3498,,
,,,,,,,,,,,,,,86799,,3500,,
,,,,,,,,,,,,,,86823,,3501,,
,,,,,,,,,,,,,,86880,,3502,,
,,,,,,,,,,,,,,86916,,3503,,
,,,,,,,,,,,,,,86924,,3504,,
,,,,,,,,,,,,,,86948,,3505,,
,,,,,,,,,,,,,,86955,,3508,,
,,,,,,,,,,,,,,86990,,3510,,
,,,,,,,,,,,,,,87000,,3512,,
,,,,,,,,,,,,,,87008,,3513,,
,,,,,,,,,,,,,,87080,,3514,,
,,,,,,,,,,,,,,87133,,3515,,
,,,,,,,,,,,,,,87160,,3516,,
,,,,,,,,,,,,,,87216,,3517,,
,,,,,,,,,,,,,,87226,,3519,,
,,,,,,,,,,,,,,87253,,3520,,
,,,,,,,,,,,,,,87336,,3522,,
,,,,,,,,,,,,,,87339,,3524,,
,,,,,,,,,,,,,,87381,,3526,,
,,,,,,,,,,,,,,87384,,3527,,
,,,,,,,,,,,,,,87388,,3528,,
,,,,,,,,,,,,,,87392,,3529,,
,,,,,,,,,,,,,,87435,,3530,,
,,,,,,,,,,,,,,87460,,3531,,
,,,,,,,,,,,,,,87461,,3532,,
,,,,,,,,,,,,,,87485,,3533,,
,,,,,,,,,,,,,,87513,,3535,,
,,,,,,,,,,,,,,87579,,3536,,
,,,,,,,,,,,,,,87620,,3537,,
,,,,,,,,,,,,,,87640,,3538,,
,,,,,,,,,,,,,,87654,,3539,,
,,,,,,,,,,,,,,87655,,3541,,
,,,,,,,,,,,,,,87658,,3542,,
,,,,,,,,,,,,,,87681,,3544,,
,,,,,,,,,,,,,,87683,,3545,,
,,,,,,,,,,,,,,87698,,3547,,
,,,,,,,,,,,,,,87755,,3549,,
,,,,,,,,,,,,,,87765,,3550,,
,,,,,,,,,,,,,,87766,,3552,,
,,,,,,,,,,,,,,87774,,3553,,
,,,,,,,,,,,,,,87790,,3554,,
,,,,,,,,,,,,,,87791,,3558,,
,,,,,,,,,,,,,,87814,,3559,,
,,,,,,,,,,,,,,87824,,3560,,
,,,,,,,,,,,,,,87902,,3562,,
,,,,,,,,,,,,,,87934,,3563,,
,,,,,,,,,,,,,,87949,,3564,,
,,,,,,,,,,,,,,88000,,3565,,
,,,,,,,,,,,,,,88005,,3566,,
,,,,,,,,,,,,,,88060,,3569,,
,,,,,,,,,,,,,,88066,,3570,,
,,,,,,,,,,,,,,88067,,3571,,
,,,,,,,,,,,,,,88101,,3574,,
,,,,,,,,,,,,,,88102,,3575,,
,,,,,,,,,,,,,,88122,,3576,,
,,,,,,,,,,,,,,88167,,3579,,
,,,,,,,,,,,,,,88232,,3580,,
,,,,,,,,,,,,,,88266,,3581,,
,,,,,,,,,,,,,,88277,,3582,,
,,,,,,,,,,,,,,88309,,3584,,
,,,,,,,,,,,,,,88331,,3585,,
,,,,,,,,,,,,,,88334,,3586,,
,,,,,,,,,,,,,,88376,,3587,,
,,,,,,,,,,,,,,88412,,3589,,
,,,,,,,,,,,,,,88421,,3590,,
,,,,,,,,,,,,,,88422,,3591,,
,,,,,,,,,,,,,,88442,,3592,,
,,,,,,,,,,,,,,88443,,3593,,
,,,,,,,,,,,,,,88498,,3595,,
,,,,,,,,,,,,,,88542,,3596,,
,,,,,,,,,,,,,,88599,,3597,,
,,,,,,,,,,,,,,88600,,3598,,
,,,,,,,,,,,,,,88606,,3599,,
,,,,,,,,,,,,,,88628,,3600,,
,,,,,,,,,,,,,,88659,,3601,,
,,,,,,,,,,,,,,88670,,3602,,
,,,,,,,,,,,,,,88672,,3603,,
,,,,,,,,,,,,,,88678,,3604,,
,,,,,,,,,,,,,,88685,,3606,,
,,,,,,,,,,,,,,88687,,3608,,
,,,,,,,,,,,,,,88696,,3609,,
,,,,,,,,,,,,,,88704,,3614,,
,,,,,,,,,,,,,,88733,,3615,,
,,,,,,,,,,,,,,88744,,3616,,
,,,,,,,,,,,,,,88784,,3618,,
,,,,,,,,,,,,,,88820,,3619,,
,,,,,,,,,,,,,,88837,,3620,,
,,,,,,,,,,,,,,88840,,3621,,
,,,,,,,,,,,,,,88963,,3622,,
,,,,,,,,,,,,,,88970,,3624,,
,,,,,,,,,,,,,,88999,,3628,,
,,,,,,,,,,,,,,89002,,3630,,
,,,,,,,,,,,,,,89019,,3632,,
,,,,,,,,,,,,,,89058,,3634,,
,,,,,,,,,,,,,,89068,,3635,,
,,,,,,,,,,,,,,89129,,3636,,
,,,,,,,,,,,,,,89190,,3637,,
,,,,,,,,,,,,,,89192,,3638,,
,,,,,,,,,,,,,,89233,,3639,,
,,,,,,,,,,,,,,89236,,3640,,
,,,,,,,,,,,,,,89276,,3641,,
,,,,,,,,,,,,,,89306,,3643,,
,,,,,,,,,,,,,,89313,,3645,,
,,,,,,,,,,,,,,89338,,3646,,
,,,,,,,,,,,,,,89379,,3647,,
,,,,,,,,,,,,,,89381,,3648,,
,,,,,,,,,,,,,,89382,,3649,,
,,,,,,,,,,,,,,89421,,3650,,
,,,,,,,,,,,,,,89440,,3651,,
,,,,,,,,,,,,,,89489,,3652,,
,,,,,,,,,,,,,,89517,,3653,,
,,,,,,,,,,,,,,89519,,3654,,
,,,,,,,,,,,,,,89522,,3656,,
,,,,,,,,,,,,,,89523,,3658,,
,,,,,,,,,,,,,,89571,,3659,,
