row_count,field_count,field_name_values,issuedate_min,issuedate_max,new_class_unique_count,new_class_unique_values,new_type_unique_count,new_type_unique_values,usetype_unique_count,usetype_values,units_unique_count,units_unique_values,value_unique_count,value_unique_values,sqft_unique_count,sqft_unique_values,nbrhood_unique_count,nbrhood_unique_values
,,,,,,,,,,,,102,,5300,,261,,South Portland
,,,,,,,,,,,,104,,5400,,264,,South Tabor
,,,,,,,,,,,,107,,5500,,266,,Southwest Hills
,,,,,,,,,,,,108,,5514,,268,,St. Johns
,,,,,,,,,,,,112,,5544,,270,,Sullivan's Gulch
,,,,,,,,,,,,113,,5551,,272,,Sumner
,,,,,,,,,,,,114,,5640,,273,,Sunderland
,,,,,,,,,,,,116,,5760,,280,,Sunnyside
,,,,,,,,,,,,117,,5810,,286,,Sylvan-Highlands
,,,,,,,,,,,,118,,6000,,288,,University Park
,,,,,,,,,,,,120,,6158,,291,,Vernon
,,,,,,,,,,,,122,,6300,,292,,West Portland Park
,,,,,,,,,,,,123,,6500,,293,,Wilkes
,,,,,,,,,,,,124,,6700,,297,,Woodland Park
,,,,,,,,,,,,125,,6706,,300,,Woodlawn
,,,,,,,,,,,,129,,6735,,304,,Woodstock
,,,,,,,,,,,,130,,6800,,309,,
,,,,,,,,,,,,132,,6857,,312,,
,,,,,,,,,,,,134,,7000,,315,,
,,,,,,,,,,,,135,,7150,,316,,
,,,,,,,,,,,,136,,7213,,318,,
,,,,,,,,,,,,139,,7320,,319,,
,,,,,,,,,,,,140,,7406,,320,,
,,,,,,,,,,,,143,,7500,,322,,
,,,,,,,,,,,,144,,7600,,323,,
,,,,,,,,,,,,145,,7700,,324,,
,,,,,,,,,,,,150,,7745,,325,,
,,,,,,,,,,,,152,,7800,,326,,
,,,,,,,,,,,,154,,7850,,330,,
,,,,,,,,,,,,155,,8000,,332,,
,,,,,,,,,,,,156,,8204,,333,,
,,,,,,,,,,,,158,,8400,,336,,
,,,,,,,,,,,,163,,8454,,338,,
,,,,,,,,,,,,164,,8500,,340,,
,,,,,,,,,,,,165,,8729,,341,,
,,,,,,,,,,,,166,,8816,,342,,
,,,,,,,,,,,,172,,8890,,345,,
